timestamp_utc,timestamp_local,filename,zoom,center_lat,center_lng,bounds_north,bounds_south,bounds_east,bounds_west,run_id,machine_id
2026-02-25T09:06:11.282338,2026-02-25T15:06:11.282343+06:00,2026-02-25_15-06-11.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,2e53bb5a,machine-01
2026-02-25T09:11:11.282667,2026-02-25T15:11:11.282675+06:00,2026-02-25_15-11-11.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,2e53bb5a,machine-01
2026-02-25T09:16:11.283089,2026-02-25T15:16:11.283096+06:00,2026-02-25_15-16-11.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,2e53bb5a,machine-01
2026-02-25T09:21:11.283720,2026-02-25T15:21:11.283726+06:00,2026-02-25_15-21-11.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,2e53bb5a,machine-01
2026-02-25T09:26:11.284153,2026-02-25T15:26:11.284159+06:00,2026-02-25_15-26-11.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,2e53bb5a,machine-01
2026-02-25T09:31:11.284813,2026-02-25T15:31:11.284818+06:00,2026-02-25_15-31-11.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,2e53bb5a,machine-01
2026-02-25T09:36:11.285194,2026-02-25T15:36:11.285199+06:00,2026-02-25_15-36-11.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,2e53bb5a,machine-01
2026-02-25T09:41:11.285841,2026-02-25T15:41:11.285846+06:00,2026-02-25_15-41-11.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,2e53bb5a,machine-01
2026-02-25T09:42:28.734758,2026-02-25T15:42:28.734763+06:00,2026-02-25_15-42-28.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,8cac0089,machine-01
2026-02-25T09:46:41.765966,2026-02-25T15:46:41.765971+06:00,2026-02-25_15-46-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T09:51:41.766225,2026-02-25T15:51:41.766230+06:00,2026-02-25_15-51-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T09:56:41.766936,2026-02-25T15:56:41.766942+06:00,2026-02-25_15-56-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T10:01:41.767669,2026-02-25T16:01:41.767674+06:00,2026-02-25_16-01-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T10:06:41.768296,2026-02-25T16:06:41.768301+06:00,2026-02-25_16-06-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T10:11:41.768782,2026-02-25T16:11:41.768788+06:00,2026-02-25_16-11-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T10:16:41.769444,2026-02-25T16:16:41.769450+06:00,2026-02-25_16-16-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T10:21:41.770056,2026-02-25T16:21:41.770062+06:00,2026-02-25_16-21-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T10:26:41.770802,2026-02-25T16:26:41.770813+06:00,2026-02-25_16-26-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T10:31:41.771254,2026-02-25T16:31:41.771258+06:00,2026-02-25_16-31-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T10:36:41.771598,2026-02-25T16:36:41.771602+06:00,2026-02-25_16-36-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T10:41:41.772163,2026-02-25T16:41:41.772167+06:00,2026-02-25_16-41-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T10:46:41.772673,2026-02-25T16:46:41.772677+06:00,2026-02-25_16-46-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T10:51:41.773292,2026-02-25T16:51:41.773295+06:00,2026-02-25_16-51-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T10:56:41.773491,2026-02-25T16:56:41.773495+06:00,2026-02-25_16-56-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T11:01:41.774023,2026-02-25T17:01:41.774027+06:00,2026-02-25_17-01-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T11:06:41.774308,2026-02-25T17:06:41.774311+06:00,2026-02-25_17-06-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T11:11:41.774553,2026-02-25T17:11:41.774557+06:00,2026-02-25_17-11-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T11:16:41.775311,2026-02-25T17:16:41.775315+06:00,2026-02-25_17-16-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T11:21:41.775571,2026-02-25T17:21:41.775575+06:00,2026-02-25_17-21-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T11:26:41.776026,2026-02-25T17:26:41.776029+06:00,2026-02-25_17-26-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T11:31:41.776352,2026-02-25T17:31:41.776359+06:00,2026-02-25_17-31-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T11:36:41.777018,2026-02-25T17:36:41.777023+06:00,2026-02-25_17-36-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T11:41:41.777303,2026-02-25T17:41:41.777308+06:00,2026-02-25_17-41-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T11:46:41.777980,2026-02-25T17:46:41.777988+06:00,2026-02-25_17-46-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T11:51:41.778466,2026-02-25T17:51:41.778470+06:00,2026-02-25_17-51-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T11:56:41.778710,2026-02-25T17:56:41.778713+06:00,2026-02-25_17-56-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T12:01:41.779019,2026-02-25T18:01:41.779023+06:00,2026-02-25_18-01-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T12:06:41.779329,2026-02-25T18:06:41.779336+06:00,2026-02-25_18-06-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T12:11:41.779742,2026-02-25T18:11:41.779747+06:00,2026-02-25_18-11-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T12:16:41.780457,2026-02-25T18:16:41.780461+06:00,2026-02-25_18-16-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T12:21:41.780975,2026-02-25T18:21:41.780979+06:00,2026-02-25_18-21-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T12:26:41.781374,2026-02-25T18:26:41.781378+06:00,2026-02-25_18-26-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T12:31:41.781860,2026-02-25T18:31:41.781867+06:00,2026-02-25_18-31-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
2026-02-25T12:36:41.782435,2026-02-25T18:36:41.782440+06:00,2026-02-25_18-36-41.png,13,23.8103,90.4125,23.895,23.71,90.5,90.33,54ddf8e9,machine-01
